ad_id,latitude,longitude,bairro,cidade
46583889,-27.1518,-48.58767,Alto Perequê,Porto Belo
53538553,-27.1429,-48.59407,Meia Praia,Itapema
765399056882739939,-27.144019516877965,-48.588446458336485,Meia Praia,Itapema
640011391336388796,-27.14363,-48.58805,Meia Praia,Itapema
43300431,-27.14252,-48.58591,Meia Praia,Itapema
53794321,-27.144075,-48.588612,Meia Praia,Itapema
41676390,-27.14287,-48.59616,Meia Praia,Itapema
53807119,-27.14269,-48.58908,Meia Praia,Itapema
751633293667757414,-27.146438876873265,-48.582847440814206,Perequê,Porto Belo
47189324,-27.14351,-48.59626,Meia Praia,Itapema
747063598040323873,-27.15109,-48.58653,Perequê,Porto Belo
757068190134611847,-27.1545324,-48.5924848,Jardim Dourado,Porto Belo
38998610,-27.14459,-48.60141,Meia Praia,Itapema
38319706,-27.14247,-48.59146,Meia Praia,Itapema
54067586,-27.14567,-48.58924,Meia Praia,Itapema
40586927,-27.14661,-48.58331,Perequê,Porto Belo
48624860,-27.14261,-48.59351,Meia Praia,Itapema
36942167,-27.15036,-48.59373,Jardim Dourado,Porto Belo
53712205,-27.14914,-48.58866,Jardim Dourado,Porto Belo
53936229,-27.15245,-48.59656,Jardim Dourado,Porto Belo
53448627,-27.14375,-48.58751,Meia Praia,Itapema
53797410,-27.14208,-48.58924,Meia Praia,Itapema
754266089933603520,-27.14929,-48.58394,Perequê,Porto Belo
16321793,-27.14282,-48.58983,Meia Praia,Itapema
5437566,-27.14757,-48.59071,Jardim Dourado,Porto Belo
757789292882748679,-27.1473,-48.58244,Perequê,Porto Belo
31971404,-27.14356,-48.58679,Meia Praia,Itapema
721635424816164605,-27.1440118,-48.5887433,Meia Praia,Itapema
585600486114295795,-27.143583,-48.587685,Meia Praia,Itapema
47089668,-27.1545,-48.58236,Perequê,Porto Belo
716036257834809292,-27.14348,-48.58816,Meia Praia,Itapema
30904034,-27.14974,-48.58901,Jardim Dourado,Porto Belo
721008991734845867,-27.14346117576522,-48.58774848465577,Meia Praia,Itapema
6569062,-27.14529,-48.58799,Meia Praia,Itapema
51544345,-27.14413,-48.58664,Meia Praia,Itapema
9182528,-27.14374,-48.58775,Meia Praia,Itapema
53605236,-27.15075,-48.58783,Jardim Dourado,Porto Belo
40206592,-27.14529,-48.58922,Meia Praia,Itapema
52798295,-27.14987,-48.58694,Perequê,Porto Belo
52615766,-27.1436,-48.5894,Meia Praia,Itapema
738386989138220837,-27.14231,-48.58881,Meia Praia,Itapema
32139372,-27.14454,-48.5906,Meia Praia,Itapema
34870196,-27.15937,-48.58221,Alto Perequê,Porto Belo
47935365,-27.15132,-48.58723,Jardim Dourado,Porto Belo
31971999,-27.14703,-48.58235,Perequê,Porto Belo
47377244,-27.14198,-48.59266,Meia Praia,Itapema
763005570050590802,-27.14236731069457,-48.58810691691894,Meia Praia,Itapema
48539302,-27.14455,-48.58824,Meia Praia,Itapema
40678671,-27.14499,-48.58816,Meia Praia,Itapema
53864989,-27.15081,-48.5884,Jardim Dourado,Porto Belo
53352511,-27.14941,-48.59118,Jardim Dourado,Porto Belo
53876392,-27.15588,-48.59414,Jardim Dourado,Porto Belo
43774252,-27.14332,-48.59054,Meia Praia,Itapema
31878628,-27.14257,-48.58842,Meia Praia,Itapema
30799021,-27.14354,-48.58802,Meia Praia,Itapema
735280699552478760,-27.143865,-48.591071,Meia Praia,Itapema
748562139527741803,-27.14317,-48.59102,Meia Praia,Itapema
667324814851452653,-27.14359,-48.58759,Meia Praia,Itapema
765235553936283368,-27.1441792838583,-48.58904041349888,Meia Praia,Itapema
32471050,-27.15036,-48.58442,Perequê,Porto Belo
53957220,-27.15213,-48.58456,Perequê,Porto Belo
50097179,-27.15031,-48.58756,Jardim Dourado,Porto Belo
685485453000519951,-27.14678,-48.58213,Perequê,Porto Belo
746302819456711882,-27.14892270812024,-48.58628410845995,Perequê,Porto Belo
54211269,-27.14311,-48.58633,Meia Praia,Itapema
41111971,-27.14305,-48.58901,Meia Praia,Itapema
41621157,-27.15405,-48.58484,Jardim Dourado,Porto Belo
45802421,-27.14696,-48.58591,Perequê,Porto Belo
45935232,-27.14423,-48.58928,Meia Praia,Itapema
16428654,-27.14512,-48.58928,Meia Praia,Itapema
52758042,-27.14276,-48.59097,Meia Praia,Itapema
46381164,-27.15825,-48.59852,Jardim Dourado,Porto Belo
47274994,-27.14476,-48.58941,Meia Praia,Itapema
688460350770183206,-27.15639,-48.59007,Jardim Dourado,Porto Belo
40836223,-27.14742,-48.58631,Perequê,Porto Belo
53774607,-27.14395,-48.59004,Meia Praia,Itapema
27981528,-27.08966,-48.61629,Casa Branca,Itapema
29302246,-27.09101,-48.61776,Casa Branca,Itapema
40666404,-27.08799,-48.61752,Casa Branca,Itapema
771129312020189310,-27.08769497003031,-48.61671879887581,Alto São Bento,Itapema
44153810,-27.08859,-48.6156,Casa Branca,Itapema
53341328,-27.0926,-48.61913,Casa Branca,Itapema
645112019862188003,-27.08936,-48.61789,Casa Branca,Itapema
40658129,-27.088177,-48.615528,Alto São Bento,Itapema
53973763,-27.08929,-48.61838,Casa Branca,Itapema
756343553290237088,-27.0920606,-48.61861589999999,Casa Branca,Itapema
39715668,-27.09308,-48.61894,Casa Branca,Itapema
